keyword,nama,kategori,alamat,lat,lng,rating,jumlah_review,jam_operasional_raw,status_buka,telepon,website,price_level,harga_text,fasilitas,fasilitas_count,popular_times,jam_ramai,has_busy_hours,total_open_hours_week,is_24h,has_weekend,jam_lengkap,facility_score,place_id,url_google_maps,wilayah_search,opportunity_score
taman,Taman Walikota Jakarta Barat,Taman,"RP7Q+X94, RT.2/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",-6.1851128,106.7384451,4.6,54,Sabtu: dan masih sepiii 😊 kita naik motor cuman parkiran motor jauh dibelakang hehe...g,,000000014901161,,,,"Parkir, Restoran, Bar",3,,,False,0.0,False,False,False,1,11lgddykr_,"https://www.google.com/maps/place/Taman+Walikota+Jakarta+Barat/@-6.1851128,106.7384451,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7dba80b0e61:0xc43acda175b406f5!8m2!3d-6.1851128!4d106.7384451!16s%2Fg%2F11lgddykr_?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",,0.12545454545454557
co-working space,Servio The Plaza Office Tower - Service Office | Virtual Office | Meeting Room,Kantor Perusahaan,"The Plaza Office Tower, Jl. M.H. Thamrin No.Kav. 28-30 Level 7, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",-6.1932994,106.8213176,5.0,23,"Senin: 08.00–17.00
Selasa: 08.00–17.00
Rabu: 08.00–17.00
Kamis: 08.00–17.00
Jumat: 08.00–17.00
Sabtu: Tutup
Minggu: Tutup",Tutup,021) 50955000,https://servio.co.id/,,,"Parkir, AC, Restoran, Bar",4,,,False,45.0,False,True,True,2,11w1jxj9s0,"https://www.google.com/maps/place/Servio+The+Plaza+Office+Tower+-+Service+Office+%7C+Virtual+Office+%7C+Meeting+Room/@-6.1932994,106.8213176,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5b225877565:0xe0287d6530ff513e!8m2!3d-6.1932994!4d106.8213176!16s%2Fg%2F11w1jxj9s0?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",,0.11964285714285715
lapangan,Asuka Badminton Hall,Lapangan Bulutangkis,"Jl. Kedoya Pesing No.30, RT.14/RW.8, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520",-6.1634977,106.7655976,4.8,259,"Senin: 08.00–23.00
Selasa: 08.00–23.00
Rabu: 08.00–23.00
Kamis: 08.00–23.00
Jumat: 08.00–23.00
Sabtu: 08.00–23.00
Minggu: 08.00–23.00",Buka · Tutup pukul 23.00,0821-2322-2154,,,,"Parkir, Kursi roda, Restoran, Bar, Tidak memiliki pintu masuk khusus pengguna kursi roda, Tidak memiliki tempat parkir khusus pengguna kursi roda",6,,,False,105.0,False,True,True,2,11kqrj171p,"https://www.google.com/maps/place/Asuka+Badminton+Hall/@-6.1634977,106.7655976,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7d2534edd87:0x87ba0ef653fe024a!8m2!3d-6.1634977!4d106.7655976!16s%2Fg%2F11kqrj171p?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",,0.3111538461538462
aula,Gedung Dhanapala,Gedung Pertemuan,"Jl. Senen Raya No.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1733617,106.8384371,4.6,6551,"Senin: 09.00–17.00
Selasa: 09.00–17.00
Rabu: 09.00–17.00
Kamis: 09.00–17.00
Jumat: 09.00–17.00
Sabtu: 09.00–17.00
Minggu: 09.00–17.00",tutup · 17.00 · Buka Sel pukul 09.0,021) 3865118,https://gedungdhanapala.com/,,,"Parkir, Toilet, Kursi roda, Restoran, Bar, Memiliki pintu masuk khusus pengguna kursi roda, Memiliki tempat parkir khusus pengguna kursi roda, Ada toilet khusus pengguna kursi roda",8,"Foto pengulas yang menulis ""Telusuri lah dulu dan jalan kesana cukup ramai dan dekat dengan hotel Borobudur""","Foto pengulas yang menulis ""Telusuri lah dulu dan jalan kesana cukup ramai dan dekat dengan hotel Borobudur""",True,56.0,False,True,True,3,11b6z2pv29,"https://www.google.com/maps/place/Gedung+Dhanapala/@-6.1733617,106.8384371,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5cb019d1a5b:0x7176ab25b6de0b31!8m2!3d-6.1733617!4d106.8384371!16s%2Fg%2F11b6z2pv29?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",,0.25337912087912096
ruang komunitas,Ruang & Tempo,Ruang Kerja Bersama,"Gedung TEMPO, Jl. Palmerah Barat No.8 3, RT.3/RW.5, Grogol Utara, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210",-6.208545,106.7899649,4.7,127,"Senin: 09.00–17.00
Selasa: 09.00–17.00
Rabu: 09.00–17.00
Kamis: 09.00–17.00
Jumat: 09.00–17.00
Sabtu: Tutup
Minggu: Tutup",Tutup,021) 22537522,,,,"Parkir, Kursi roda, Restoran, Bar, Memiliki pintu masuk khusus pengguna kursi roda",5,,,False,40.0,False,True,True,2,11g0dnxp2h,"https://www.google.com/maps/place/Ruang+%26+Tempo/@-6.208545,106.7899649,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7f73653c9ab:0xe995f8ae55623c14!8m2!3d-6.208545!4d106.7899649!16s%2Fg%2F11g0dnxp2h?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",,0.18758184523809518
