place_id_text,uuid,nama
11nj1r2lmv,1a42dcca-c355-590b-a4da-ec9dd9216080,BALAI WARGA RW.01 KEL.RAWA BUAYA
11myjq4bfw,83e791ef-16bc-5448-83f6-1d5a204d07a2,Balai warga kp.alas tua Rt. 002 Rw. 004 s
11rfcbqg2f,e12185dc-f169-5f8c-b447-ceffee25f487,Balai Warga dan Sekretariat RW 05 Kebon Jeruk
1pzsxsmmg,e8515378-e081-5d0e-8c98-5c226efda1c1,Gedung Serbaguna Cendrawasih
11p0100r70,fabc4b73-d1ca-5acc-98f7-6110dba3ebd1,Gedung Serbaguna Gor Badminton Kalimati
11b6j48vlq,1f034409-d35e-511b-8c7e-fdde1c1537d8,The Vida Ballroom
1tf8j3dh,176060c8-9e6e-579a-8bee-9d3370ef6613,Gedung Serbaguna Senayan
11f04dqdx_,71f01dbf-c921-534c-8a32-bcb70dfa0250,Graha Angkasa Pura 1
11b6z2pv29,d4a97dfb-d664-5b73-be50-f902c6702f7f,Gedung Dhanapala
11ggzcbg_9,096b6e87-baa1-57e0-b1c7-71e08bbae10a,Auditorium BMKG
1x5cwvkj,e02b5093-ba4c-571c-a984-24e303cdcd7e,Graha Jalapuspita
11flt1cgb3,b5ea1342-2218-58d1-bbbb-320bc29367ec,Concrete 11th Space Kedoya
11kb7cz0rz,13c2ce81-a2dc-5c67-9e39-c4136c0450e6,Creya Coworking Space
11j91hcl51,594622b2-8a69-5433-95b6-4bbd0647fac7,GoWork Central Park - Coworking and Office Space
