id,place_id,text,rating,hash
5ef9e406-adc6-59e8-9beb-fec20564c7a8,6bda3d68-06c7-5300-bb0f-e0aef72c486d,"tony wong | Local Guide · 13 ulasan · 21 foto | 4 bulan lalu | Tempat enak untuk main, jarak meja jauh jadi tidak terganggu. Makanan pun enak enak. Harga cukup bersahabat. Tapi....jangan ambil room vip ato vvip....yang ada nge rack sendiri, harga lebih premium tapi service kalah sama yang biasa. | Suka | Bagikan",,11bc3f728a0f
6aea8557-4a21-5efc-9551-497c61e3776f,6bda3d68-06c7-5300-bb0f-e0aef72c486d,"Andri Gunawan | 4 ulasan · 5 foto | 5 bulan lalu | Tempatnya sih enak, mejanya jg enak. | Sayang mbak nya yg bagian racker ato waitress judes, org main cepet abis trus mao gimana. Pasang muka sinis gt, main hp mulu lg. 2x ksana br x ini ketemu racker yg cewe kyk gt. Cepedeh.... | Suka | Bagikan | Tanggapan dari pemilik 4 bulan lalu | Halo Kak, terima kasih atas reviewnya 🙏 | Mohon maaf atas pengalaman kurang menyenangkan terkait pelayanan kami. Masukan Kakak akan kami jadikan evaluasi agar ke depannya lebih baik. | Semoga kami masih bisa menyambut Kakak kembali 😊 …",,5615c4b82713
107a321e-d2f7-52a0-a875-e6eff67989ef,6bda3d68-06c7-5300-bb0f-e0aef72c486d,"sarah adelia | Local Guide · 417 ulasan · 2.428 foto | Diedit 5 bulan lalu | Bagusss bgtttt, cozyy parahhh, pasti bakal balik lagi sih🫶🏾 … | +7 | Suka | Bagikan | Tanggapan dari pemilik 5 bulan lalu | Wohoo terimakasih kak sarah atas komentar positifnya mimin jadi ikut senang mendengarnya, ditunggu kembali ya kedangannya🥰🙏🏻 …",,c51bb68f85ec
b241c463-3b7b-56b7-b37d-49e386177a81,2c8b3edf-85fd-5832-a95d-67c3cd2b9ce1,"Reiner Salim | Local Guide · 20 ulasan · 10 foto | 3 bulan lalu | ijin saya share pengalaman sebagai penghuni di Casa Jardin, harapannya Review ini dapat memberikan insight bagi potential buyers di Perumahan Casa Jardin. … Lainnya | 1 | Bagikan | Tanggapan dari pemilik 3 bulan lalu | X",,d6ca86612900
f13c127f-b0ed-58c8-87cc-746179871665,2c8b3edf-85fd-5832-a95d-67c3cd2b9ce1,"Yovi Maria Kristanty | Local Guide · 94 ulasan · 287 foto | 2 bulan lalu | Perumahan dengan nuansa hijau di tengah kota jakarta yang super duper gersang jujur sangat suka, cuma kecewa nya adalah pada akses jalan yang di buat memutar pada cluster Quin jadi kalau mau akses taman Jadi lebih ribet kalau gak ada … Lainnya | Suka | Bagikan | Tanggapan dari pemilik 2 bulan lalu | Selamat siang bpk/ibu. | Bersama ini kami informasikan bahwa perihal jalan yg kami tutup tersebut adalah jalan yg memang di rencanakan untuk jalan cluster Lily. Jadi bila selama ini … Lainnya",,1a526b60d6ac
ce4f37bb-74bf-5bf8-814e-8cea62df6839,2c8b3edf-85fd-5832-a95d-67c3cd2b9ce1,Benedictha Olivia | Local Guide · 23 ulasan · 49 foto | 3 bulan lalu | Gimana ini saya penghuni di casa udah hampir 15tahun tapi makin kesini makin aneh management. Bilang pintu belakang kali ampur khusus buat penghuni tapi makin kesini makin banyak orang luar lalu lalang. Trus tbtb banget arah luar ke Q di … Lainnya | 1 | Bagikan | Tanggapan dari pemilik Diedit 3 bulan lalu | Selamat siang bpk/ibu. | Bersama ini kami informasikan bahwa jalan yg kami tutup tersebut adalah jalan yg memang di rencanakan untuk jalan cluster Lilly. Jadi bila selama ini bisa … Lainnya,,92c3440cd4ee
2d3da3df-2f05-5535-8d9f-3307135ec476,517424ec-5404-5e73-bb4a-99479982a19e,"Arif Petualang | Local Guide · 2.289 ulasan · 16.813 foto | 2 tahun lalu | Salah satu kompleks apartemen di kawasan Tanjung Duren. Lokasinya strategis dekat pusat perbelanjaan dan aneka kuliner tanjung duren. Area disini ada beberapa kompleks apartemen, tapi untuk Apartemen Royal sangat rapi dan tertata rapi. … Lainnya | +22 | 1 | Bagikan",,252fb21e6a04
f4e04edf-f051-567a-b43f-abf48aa9b329,517424ec-5404-5e73-bb4a-99479982a19e,"Mei An | 8 ulasan · 3 foto | 3 bulan lalu | Tempatnya bagus, nyaman, bersih. Akses buat ke mallnya mudah. | Suka | Bagikan",,9e6f7d75e896
d66854f2-46de-559c-b10e-2101efa8c50b,517424ec-5404-5e73-bb4a-99479982a19e,"Wirya Atma Negara | Local Guide · 91 ulasan · 382 foto | 4 bulan lalu | mantab, bersih dan tertib serta aman | 0:13 | 0:11 | +8 | Suka | Bagikan",,f91fb3c80608
8e1a57a4-b4ba-5a29-b14b-ef134b510b4b,4bd218f8-a8b2-572b-85c4-89c05d8bfc9c,"dunia maya | Local Guide · 497 ulasan · 3.180 foto | Diedit 3 tahun lalu | Terletak di samping kantor marketing perumahan Casa Jardin, club house ini punya fasilitas kolam renang, gym, lapangan sepak bola mini dan tenis, dan pingpong. | Di sekitar kolam juga ada 2 area gubug yang bisa menampung lebih banyak anggota … Lainnya | +13 | 8 | Bagikan",,339e43ae3966
